iotype,iodepth,iosize,numjobs,psync_bw,io_uring_bw,iou_poll_bw,spdk_bw,aeolia_bw,psync_iops,io_uring_iops,iou_poll_iops,spdk_iops,aeolia_iops,psync_lat_avg,io_uring_lat_avg,iou_poll_lat_avg,spdk_lat_avg,aeolia_lat_avg,psync_lat_p50,io_uring_lat_p50,iou_poll_lat_p50,spdk_lat_p50,aeolia_lat_p50,psync_lat_p99,io_uring_lat_p99,iou_poll_lat_p99,spdk_lat_p99,aeolia_lat_p99,psync_lat_p999,io_uring_lat_p999,iou_poll_lat_p999,spdk_lat_p999,aeolia_lat_p999,psync_bg,io_uring_bg,iou_poll_bg,spdk_bg,aeolia_bg
randread,1,512B,1,31.026,31.473,53.482,66.629,46.784,62.052589482,62.947515745,106.965306939,133.2596,93.56812956099999,15.650710033,15.390304323,8.530471439000001,6.806505753000001,10.337234511,9.536,9.152,4.256,3.376,6.368,11.584,11.328,4.384,3.696,7.84,2998.272,3096.576,4014.08,9.408,1843.2,2083.811749749864,2031.364828087022,1812.2168697384873,1821.0175433249415,1539.9585129851978
randread,1,1KB,1,61.675,63.092,103.816,128.159,92.763,61.67579452299999,63.092790721,103.81660000000001,128.1599,92.76387083899999,15.813968995,15.427739036999998,8.836289237,7.155254768,10.454432532999999,9.664,9.28,4.448,3.568,6.56,11.712,11.456,4.576,3.856,7.968,2998.272,3063.808,4014.08,9.664,1843.2,2096.0075798613957,2046.136397352548,1818.5351404059713,1815.5545822895228,1575.724333596561
randread,1,2KB,1,122.621,124.057,195.429,238.756,180.682,61.310668933,62.02879712,97.71461415399999,119.378386484,90.341065893,15.942091169,15.730617517999999,9.510201819,7.737627753,10.738037429,9.92,9.536,4.768,3.856,6.88,11.712,11.584,4.896,4.08,8.16,3096.576,3031.04,4014.08,10.048,1744.896,2136.647610584513,2079.217810734401,1822.167832432141,1820.3736521357503,1623.528730504939
randread,1,4KB,1,234.83,239.049,347.807,413.279,385.822,58.707699999999996,59.7623,86.951914426,103.319804059,96.455554445,16.680807996,16.357907781,10.815262528,8.993111673,10.043232196000002,10.688,10.176,5.344,4.512,7.456,11.968,11.712,5.664,4.768,8.768,3096.576,3129.344,4014.08,4014.08,15.552,2166.042102658203,2128.7637154212625,1823.9725329819823,1826.9397544725637,1608.2900460887029
randread,1,8KB,1,481.733,468.82,496.576,580.896,673.677,60.216678332,58.602579484,62.072,72.61210000000001,84.2097,16.241083336,16.696868087,15.377580927,13.170993166,11.543187980999999,13.12,12.864,7.712,6.496,9.536,14.912,14.528,8.032,7.328,11.584,27.52,1122.304,4014.08,4014.08,16.064,2098.0910006273307,2154.4051000945014,1822.8522867402194,1821.057075233947,1761.2193170508358
randread,1,16KB,1,813.689,792.521,616.187,704.011,1039.656,50.855599999999995,49.532599999999995,38.511746476,44.00069993,64.97850215,19.315937159,19.821224254,25.163569330999998,22.03055437,15.047200606,18.048,17.792,12.608,10.944,14.016,21.632,21.632,14.912,13.376,16.512,27.776,27.52,4014.08,4014.08,20.608,2188.538815310939,2161.9842876267794,1823.615429903134,1823.0864163348526,2106.848030664322
randread,1,32KB,1,1388.888,1380.085,960.07,1126.31,1777.889,43.402759724000006,43.127687231,30.002200000000002,35.197199999999995,55.559044096,22.680007775,22.815959062999998,32.663936425,27.817530446,17.643176576000002,21.632,21.376,16.192,13.76,16.768,23.424,23.424,20.864,18.048,21.12,29.568,30.848,4014.08,4014.08,23.168,2265.421750825882,2235.1747088221823,1825.1877143917936,1823.1454534247916,2292.924408187935
randread,1,64KB,1,2073.552,2093.409,1303.664,1533.465,2628.192,32.399260074000004,32.709529047,20.369752099000003,23.96040396,41.0655,30.508352059,30.202311361,48.433809382,41.076288401,23.988969987,29.568,29.056,24.192,20.608,23.68,31.872,31.104,27.52,25.216,25.472,37.12,36.608,4046.848,4014.08,29.056,2410.7825094944264,2423.6670984919283,1824.7607480907204,1825.622270524727,2603.1471965596756
randread,1,128KB,1,2698.264,2727.215,1566.332,1839.24,3347.3,21.080191981,21.306369363,12.236976301999999,14.369063094,26.150784922,47.077163564,46.562010015,81.23765128000001,69.193878418,37.875158905,46.336,45.824,40.704,34.56,37.632,51.968,51.456,4014.08,41.216,40.704,55.552,54.016,4046.848,4046.848,45.312,2654.371963459402,2656.151921384615,1825.5743559255943,1825.6679625764323,2984.576819246663
randread,1,256KB,1,3221.258,1829.474,1236.062,1869.281,3516.985,12.583041696,7.146385360999999,4.828368653,7.3018792480000005,13.738226177,79.109373076,139.544981573,206.767838644,135.49971359900002,72.412108467,78.336,88.576,84.48,68.096,71.168,85.504,2801.664,4014.08,4014.08,76.288,89.6,5931.008,8028.16,4079.616,81.408,2735.1789997300234,2822.6132947429173,1714.27319594202,1823.1504459983423,2965.0363848066827
randread,1,512KB,1,3677.43,2261.175,1467.194,2484.845,4581.583,7.182481751999999,4.416358364,2.865613439,4.853214679,8.948405159,138.85755776,226.036460197,348.58568858,204.552772442,111.362972244,129.536,146.432,142.336,103.936,107.008,134.144,3686.4,4292.608,4014.08,113.152,4112.384,6258.688,8028.16,4112.384,1908.736,2784.4609660343617,2806.7647093857327,1702.7542672540974,1823.440696237798,2795.96836451772
randread,1,1MB,1,4603.341,2708.209,1701.001,2943.193,5523.21,4.495450455,2.644735526,1.6611338869999999,2.874212579,5.393760624,222.061630597,377.706577202,601.583941371,347.544274413,185.005220381,218.112,248.832,244.736,177.152,179.2,224.256,4489.216,8028.16,4112.384,185.344,4079.616,6455.296,8028.16,4112.384,4079.616,2684.1393135001717,2775.7320131671604,1690.895297628008,1823.474625563757,2647.27492141275
randread,1,2MB,1,5667.273,3862.346,2101.652,3327.257,6168.163,2.767223278,1.885911409,1.0261973800000002,1.624637536,3.01179882,360.82613626,529.833910132,974.013593491,615.108542221,331.610216493,354.304,378.88,374.784,321.536,321.536,366.592,5013.504,8028.16,4145.152,333.824,4227.072,6848.512,8028.16,4177.92,4227.072,2670.2284108517756,2814.387739230782,1658.4338812859341,1823.017082353109,2552.8382168092394
randwrite,1,512B,1,29.591,27.847,36.68,42.613,44.859,59.182081792,55.695530446999996,73.361391583,85.2265,89.7183,16.412316319000002,17.420110759,12.807482113,10.945374162,10.7754257,11.328,11.2,6.368,5.408,8.512,13.376,13.376,7.52,7.52,10.944,2965.504,3129.344,4014.08,4014.08,16.064,2190.4801446635724,2184.0510220659603,1819.1756799478696,1816.255547427119,1640.9533490510194
randwrite,1,1KB,1,60.164,56.554,74.128,86.111,89.546,60.164300000000004,56.55443367,74.12889999999999,86.11118888099999,89.5465,16.201961618,17.232456397,12.742676044,10.874845223,10.817991622,11.328,11.072,6.368,5.408,8.512,13.376,13.248,7.328,7.392,10.944,2965.504,3063.808,4014.08,4014.08,15.552,2199.484212712779,2188.009875900213,1817.6146771497672,1816.052733933309,1630.4171337968166
randwrite,1,2KB,1,119.314,112.807,149.876,173.493,181.857,59.657134287,56.403798101,74.93840615900001,86.74680000000001,90.92880000000001,16.374788311,17.301050875,12.639983819,10.890079775,10.631551902,11.328,11.072,6.304,5.408,8.384,13.376,13.376,7.392,7.392,10.944,3063.808,3096.576,4014.08,4014.08,15.296,2187.421299089094,2188.7618616528275,1820.349634567644,1820.6175769579477,1645.7386443337468
randwrite,1,4KB,1,238.359,239.454,344.724,406.338,385.936,59.589982004,59.863513649,86.181245626,101.5845,96.484,16.417408963000003,16.316622863,10.925861671,9.175723065,10.015278898,10.56,10.176,5.408,4.576,7.584,12.096,11.84,5.856,5.728,8.896,3129.344,3162.112,4014.08,4014.08,15.04,2159.806251511343,2137.9995504103654,1825.0173644734557,1821.0248170673492,1596.7710558444855
randwrite,1,8KB,1,480.682,414.635,488.74,574.32,666.284,60.085291471,51.829417058,61.0926,71.79010000000001,83.285571443,16.269521911,18.904183219,15.7139159,13.329145594,11.655411484,12.992,12.864,7.648,6.624,9.536,15.68,16.064,9.536,8.768,12.096,27.52,3129.344,4014.08,4014.08,17.024,2080.0255893040676,2216.1355415799903,1834.5869279015417,1831.101550840207,1744.113948502967
randwrite,1,16KB,1,810.696,786.012,623.166,697.346,1039.712,50.668533147000005,49.125787421,38.947905209,43.584141586,64.98200179999999,19.368657750999997,19.966237558,25.071573303,22.467161944,15.007391089,17.792,17.536,12.352,10.944,13.76,21.632,21.632,17.024,16.192,17.024,27.776,29.056,4014.08,4014.08,21.12,2176.4605916129317,2130.2556400829794,1833.2837164585083,1830.4640902635315,2049.941739248031
randwrite,1,32KB,1,1297.646,1298.03,875.342,994.738,1644.027,40.551444856,40.563443656000004,27.354458216999998,31.085591441000002,51.375862414000004,24.290305946,24.259457864,35.907600243,31.630562261999998,19.100323234,23.168,22.912,18.048,15.808,18.56,27.776,27.776,23.168,20.864,23.168,32.64,32.128,4014.08,4014.08,26.24,2260.6491548943386,2251.6227794885913,1829.5724545857042,1829.125008100509,2302.3422685989863
randwrite,1,64KB,1,1949.584,1965.717,1185.27,1362.732,2438.323,30.462253775,30.714328567,18.519848015,21.2927,38.098800000000004,32.462199985,32.169005745999996,53.353294428,46.446750069000004,25.879867917,31.36,30.848,26.24,22.912,25.216,39.168,38.656,36.096,32.384,33.024,43.776,43.264,4046.848,4014.08,37.632,2374.3333356354133,2384.5436374537467,1836.6662570885405,1833.888262212498,2568.4902523857854
randwrite,1,128KB,1,2563.276,2570.085,1444.578,1652.254,3139.73,20.025597440000002,20.078792121,11.285771423,12.908236705,24.529147085,49.555079885,49.414798255,88.059105503,76.58330799800001,40.388818785000005,48.896,48.384,43.776,38.144,39.68,61.184,61.184,4014.08,56.576,52.992,67.072,66.048,4046.848,4046.848,57.6,2558.0218422399184,2548.3586484956872,1835.290382366457,1840.733417220924,2880.2617620705396
