iotype,iodepth,iosize,numjobs,psync_bw,io_uring_bw,iou_poll_bw,spdk_bw,aeolia_bw,psync_iops,io_uring_iops,iou_poll_iops,spdk_iops,aeolia_iops,psync_lat_avg,io_uring_lat_avg,iou_poll_lat_avg,spdk_lat_avg,aeolia_lat_avg,psync_lat_p50,io_uring_lat_p50,iou_poll_lat_p50,spdk_lat_p50,aeolia_lat_p50,psync_lat_p99,io_uring_lat_p99,iou_poll_lat_p99,spdk_lat_p99,aeolia_lat_p99,psync_lat_p999,io_uring_lat_p999,iou_poll_lat_p999,spdk_lat_p999,aeolia_lat_p999
randread,1,512B,1,58.085,57.195,107.711,143.099,127.827,116.1712,114.390142857,215.422653907,286.1999,255.6541,8.211850180999999,8.281704509999999,4.257630686000001,3.185698703,3.68729568,8.16,8.256,4.256,3.152,3.728,8.896,9.024,4.32,3.376,3.856,13.12,13.504,9.152,8.384,8.896
randread,1,1K,1,114.077,113.832,209.138,272.357,245.959,114.0775,113.832714286,209.138,272.3578,245.9595,8.401617513,8.381548298,4.4293925419999995,3.364724536,3.842587513,8.384,8.384,4.384,3.344,3.888,9.024,9.152,4.512,3.536,4.016,13.12,13.504,9.152,8.512,9.152
randread,1,2K,1,219.402,217.505,392.907,503.547,453.672,109.701329867,108.752857143,196.453714286,251.7739,226.8363,8.764021222,8.803422952,4.743180254,3.671006962,4.175707809,8.768,8.768,4.704,3.632,4.192,9.408,9.792,4.832,3.824,4.32,13.248,13.632,9.664,9.152,9.024
randread,1,4K,1,421.427,404.829,697.728,830.59,799.658,105.356857143,101.207285714,174.432142857,207.647571429,199.914714286,9.149721561,9.502071222,5.388082174,4.516803069,4.789781734,9.152,9.408,5.344,4.448,4.832,10.688,11.328,5.536,4.704,4.96,14.016,14.656,10.176,9.92,9.536
randread,1,8K,1,644.022,645.007,997.63,1204.27,1123.481,80.50284971500001,80.625910584,124.703756606,150.53379999999999,140.435156484,12.080380067,12.035202084,7.680897462,6.341214311,6.8748599960000005,12.096,11.968,7.648,6.304,6.88,13.248,12.992,7.84,6.88,7.072,17.28,17.28,13.12,11.712,12.224
randread,1,16K,1,927.084,927.371,1241.808,1434.189,1369.676,57.942805719000006,57.960719897000004,77.613055278,89.636836316,85.6048,16.917703227999997,16.882078894,12.546820161,10.852156388,11.419810597,16.768,16.768,12.48,10.816,11.328,19.584,19.84,14.528,12.992,13.504,22.4,22.656,18.56,16.768,17.536
randread,1,32K,1,1531.174,1531.799,1927.212,2284.664,2206.921,47.849215078,47.868733038,60.225396372000006,71.39576042399999,68.9663,20.559726157,20.518467536,16.261570999,13.696324656,14.233354238,20.608,20.352,16.192,13.632,14.144,22.912,22.656,18.816,16.768,16.512,26.24,25.984,22.4,19.584,20.096
randread,1,64K,1,2223.265,2234.697,2616.357,3095.428,3029.034,34.738526146999995,34.917154692,40.880588487000004,48.366063393999994,47.328667133,28.446434989,28.261734523999998,24.120125791,20.371788699,20.866780849999998,28.288,28.288,23.936,20.352,20.864,30.848,30.592,25.984,23.424,22.144,34.048,34.048,30.08,25.984,26.24
randread,1,128K,1,2794.165,2818.376,3118.939,3699.098,3654.361,21.829417058,22.018568776,24.366714285999997,28.899210079,28.5497,45.469084519999996,45.039234055,40.694917856000004,34.305065099,34.750400442,45.312,44.8,40.704,34.048,34.56,49.408,49.92,44.8,37.12,37.632,53.504,52.992,48.896,41.728,42.24
randread,1,256K,1,3283.204,2870.491,2629.512,3728.599,3720.357,12.825017498,11.212857142999999,10.271532638,14.564843516000002,14.532646735,77.62202642999999,88.804510192,97.00939219300001,68.335486534,68.531941799,77.312,88.576,84.48,68.096,68.096,84.48,95.744,92.672,73.216,73.216,88.576,99.84,4292.608,77.312,77.312
