iotype,iodepth,iosize,numjobs,psync_bw,io_uring_bw,iou_poll_bw,spdk_bw,aeolia_bw,psync_iops,io_uring_iops,iou_poll_iops,spdk_iops,aeolia_iops,psync_lat_avg,io_uring_lat_avg,iou_poll_lat_avg,spdk_lat_avg,aeolia_lat_avg,psync_lat_p50,io_uring_lat_p50,iou_poll_lat_p50,spdk_lat_p50,aeolia_lat_p50,psync_lat_p99,io_uring_lat_p99,iou_poll_lat_p99,spdk_lat_p99,aeolia_lat_p99,psync_lat_p999,io_uring_lat_p999,iou_poll_lat_p999,spdk_lat_p999,aeolia_lat_p999
randread,1,512B,1,63.751,64.033,107.711,143.099,127.827,127.503356663,128.06656192,215.422653907,286.1999,255.6541,7.284594053,7.3697676229999995,4.257630686000001,3.185698703,3.68729568,7.264,7.328,4.256,3.152,3.728,7.52,7.52,4.32,3.376,3.856,12.096,12.224,9.152,8.384,8.896
randread,1,1K,1,128.855,125.97,209.138,272.357,245.959,128.855714286,125.970714286,209.138,272.3578,245.9595,7.388730224,7.544501427,4.4293925419999995,3.364724536,3.842587513,7.392,7.52,4.384,3.344,3.888,7.584,7.712,4.512,3.536,4.016,12.224,12.608,9.152,8.512,9.152
randread,1,2K,1,248.613,242.346,392.907,503.547,453.672,124.306714286,121.173428571,196.453714286,251.7739,226.8363,7.689045007,7.8697203060000005,4.743180254,3.671006962,4.175707809,7.648,7.84,4.704,3.632,4.192,7.904,8.096,4.832,3.824,4.32,12.608,12.608,9.664,9.152,9.024
randread,1,4K,1,461.67,451.717,697.728,830.59,799.658,115.417511784,112.929428571,174.432142857,207.647571429,199.914714286,8.317882727,8.486729626,5.388082174,4.516803069,4.789781734,8.256,8.512,5.344,4.448,4.832,8.64,9.024,5.536,4.704,4.96,13.376,13.504,10.176,9.92,9.536
randread,1,8K,1,726.606,717.93,997.63,1204.27,1123.481,90.82585714300001,89.741322668,124.703756606,150.53379999999999,140.435156484,10.668094327999999,10.773585735000001,7.680897462,6.341214311,6.8748599960000005,10.688,10.688,7.648,6.304,6.88,11.968,11.968,7.84,6.88,7.072,15.424,15.424,13.12,11.712,12.224
randread,1,16K,1,1006.56,998.232,1241.808,1434.189,1369.676,62.910012855,62.389515783,77.613055278,89.636836316,85.6048,15.554504329,15.655704571,12.546820161,10.852156388,11.419810597,15.552,15.552,12.48,10.816,11.328,18.048,18.048,14.528,12.992,13.504,21.376,21.376,18.56,16.768,17.536
randread,1,32K,1,1647.513,1623.108,1927.212,2284.664,2206.921,51.484787886999996,50.722142857,60.225396372000006,71.39576042399999,68.9663,19.077563182000002,19.348853437000002,16.261570999,13.696324656,14.233354238,19.072,19.328,16.192,13.632,14.144,22.144,21.632,18.816,16.768,16.512,24.704,24.96,22.4,19.584,20.096
randread,1,64K,1,2331.726,2309.603,2616.357,3095.428,3029.034,36.433223825,36.087558920000006,40.880588487000004,48.366063393999994,47.328667133,27.104236164000003,27.340238236,24.120125791,20.371788699,20.866780849999998,27.008,27.264,23.936,20.352,20.864,28.8,29.312,25.984,23.424,22.144,32.64,32.64,30.08,25.984,26.24
randread,1,128K,1,2913.796,2891.692,3118.939,3699.098,3654.361,22.764033709,22.591344094,24.366714285999997,28.899210079,28.5497,43.583113226,43.884736751,40.694917856000004,34.305065099,34.750400442,43.264,43.776,40.704,34.048,34.56,48.384,49.408,44.8,37.12,37.632,51.456,51.456,48.896,41.728,42.24
randread,1,256K,1,3357.472,2907.708,2629.512,3728.599,3720.357,13.115126410999999,11.358234538000001,10.271532638,14.564843516000002,14.532646735,75.892970779,87.639177882,97.00939219300001,68.335486534,68.531941799,75.264,87.552,84.48,68.096,68.096,82.432,95.744,92.672,73.216,73.216,86.528,98.816,4292.608,77.312,77.312
randread,1,512K,1,4008.826,3481.907,3090.941,4891.056,4898.274,7.829738609,6.800599914,6.036994715,9.552844716,9.566943305999999,127.329944998,146.603764907,165.279039134,104.34986977999999,104.23668085999999,127.488,146.432,142.336,103.936,103.936,132.096,152.576,150.528,110.08,110.08,136.192,158.72,5537.792,114.176,113.152
randread,1,1M,1,4750.388,4095.561,3568.276,5790.331,5822.948,4.639051564000001,3.9995714899999997,3.4846450509999998,5.654620768,5.686473361,215.170338506,249.604322381,286.62360407399996,176.51231315,175.57067536600002,214.016,248.832,244.736,177.152,175.104,220.16,254.976,2113.536,183.296,183.296,228.352,261.12,5734.4,189.44,189.44
randread,1,2M,1,5742.649,5367.918,4531.576,6378.608,6421.61,2.804027996,2.621054135,2.212683902,3.114555064,3.135552064,356.221049106,381.09174218,451.527736621,320.71796876900004,318.6101542,354.304,378.88,374.784,321.536,317.44,366.592,391.168,3555.328,333.824,333.824,382.976,407.552,3883.008,346.112,346.112
randwrite,1,512B,1,51.808,50.148,73.971,88.877,81.093,103.61734037999999,100.297528924,147.942151121,177.7548,162.1862,9.232819911,9.507366634,6.366433269,5.276048084,5.912428450999999,9.152,9.408,6.304,5.216,5.856,11.2,11.456,7.136,6.944,7.264,14.656,15.168,12.096,10.816,11.584
