iotype,iodepth,iosize,numjobs,psync_bw,io_uring_bw,iou_poll_bw,spdk_bw,aeolia_bw,psync_iops,io_uring_iops,iou_poll_iops,spdk_iops,aeolia_iops,psync_lat_avg,io_uring_lat_avg,iou_poll_lat_avg,spdk_lat_avg,aeolia_lat_avg,psync_lat_p50,io_uring_lat_p50,iou_poll_lat_p50,spdk_lat_p50,aeolia_lat_p50,psync_lat_p99,io_uring_lat_p99,iou_poll_lat_p99,spdk_lat_p99,aeolia_lat_p99,psync_lat_p999,io_uring_lat_p999,iou_poll_lat_p999,spdk_lat_p999,aeolia_lat_p999
randread,1,4K,1,457.575,449.191,703.142,835.46,532.254,114.393800886,112.297814598,175.785714286,208.865142857,133.063562348,8.396061002,8.530593475,5.3426923230000005,4.50178395,7.182778443999999,8.384,8.512,5.344,4.448,7.2,8.768,9.024,5.472,4.704,7.392,13.504,13.632,10.176,9.92,11.2
randread,1,4K,2,888.946,872.313,1167.262,1604.81,992.996,222.236537637,218.078417369,291.815714286,401.202542494,248.249142857,8.651291997,8.79036805,6.4971860239999994,4.656761656,7.720974191,8.64,8.768,6.304,4.64,7.712,10.048,10.56,7.52,5.856,8.384,13.632,13.632,11.712,10.304,12.864
randread,1,4K,4,1775.525,1731.597,1984.757,3018.08,1945.079,443.88144550799996,432.8993001,496.18940151400005,754.5200685619999,486.269961434,8.663813625000001,8.858350625,7.704795915,4.885801874,7.8894627559999995,8.64,8.768,7.712,4.832,7.904,10.816,11.072,9.792,7.008,9.024,14.016,14.016,14.4,11.072,13.376
randread,1,4K,8,3497.513,3418.403,3287.54,5451.22,3793.467,874.3783745180001,854.600771318,821.885016426,1362.805027853,948.366804742,8.801865506,8.971303712000001,9.389435965999999,5.449318808,8.102011238,8.768,8.896,9.28,5.344,8.032,11.328,11.456,13.888,8.512,10.688,14.656,14.656,17.28,12.48,14.144
randread,1,4K,16,6084.234,6033.572,4003.755,6224.402,6157.927,1521.058563062,1508.393229539,1000.938865876,1556.1006998999999,1539.4817883160001,10.172517406,10.217240635,15.629316132,9.837193545,10.055509957,9.92,10.048,15.68,9.792,9.92,14.4,14.4,20.096,12.096,14.144,18.048,18.048,25.216,16.512,18.304
randread,1,4K,32,6241.761,6241.331,4034.892,6242.79,6242.189,1560.440365662,1560.3329524350002,1008.723039566,1560.697514996,1560.5473731480001,20.146108324,20.047165511,31.255841312,20.018749287,20.264587007,20.096,20.096,31.36,20.096,20.352,22.656,22.656,38.144,21.888,22.144,27.776,28.288,42.752,25.472,26.24
randwrite,1,4K,1,458.823,444.422,684.042,818.096,521.736,114.705899157,111.105699186,171.010571429,204.524,130.434142857,8.361534127,8.611825421999999,5.513614616,4.588293956,7.323949795000001,8.384,8.512,5.472,4.576,7.264,9.024,9.664,5.856,5.344,8.096,13.248,13.632,10.816,10.304,11.584
randwrite,1,4K,2,908.331,884.882,1220.265,1571.147,994.536,227.082988145,221.220539923,305.06641908299997,392.78688758699997,248.634195115,8.443764359000001,8.648210362,6.208917229,4.780433892,7.698954408,8.384,8.64,6.176,4.704,7.648,9.664,10.304,7.776,7.008,9.024,13.888,14.144,12.224,11.2,12.992
randwrite,1,4K,4,1802.317,1742.352,2011.609,2901.143,1923.273,450.579345808,435.58805884900005,502.902299671,725.285857143,480.81827266199997,8.510577683,8.784486295999999,7.609745322,5.0945494,7.969025611,8.384,8.64,7.328,4.96,7.84,11.328,11.584,11.2,9.536,11.456,15.68,16.064,16.192,12.864,15.296
randwrite,1,4K,8,3290.456,3223.718,3002.119,4096.116,3388.21,822.6141979719999,805.9297243249999,750.52978146,1024.029138694,847.052563919,9.361991897,9.527355571,10.305652124,7.369492008,9.097744972000001,9.024,9.152,10.048,7.136,8.64,15.68,15.808,18.048,14.272,16.768,20.096,20.096,22.912,18.048,20.352
randwrite,1,4K,16,4419.209,4398.086,4018.053,4589.7,4460.993,1104.8023139549998,1099.521708083,1004.513498072,1147.425082131,1115.248375162,14.118571389000001,14.147754388,15.560412798,13.462237026999999,14.107215051999999,13.76,13.76,14.784,13.248,13.632,23.936,24.192,27.52,23.168,24.96,28.032,28.032,32.64,27.264,28.544
randwrite,1,4K,32,4733.401,4733.79,4439.671,4739.762,4641.936,1183.350378517,1183.447650336,1109.9178688759998,1184.940579917,1160.48405079,26.665655598,26.550470794000002,28.366209358,26.50084475,27.323620006000002,26.24,26.24,27.52,26.24,26.752,37.632,37.632,47.872,37.632,38.656,41.728,41.728,55.04,41.728,42.752
