thread,ext4,f2fs,ufs,sys
1,0.09381099361600001,0.108786435507,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777d3a0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777d4e0>, {})"
2,0.15040259391299998,0.20696336023,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777d440>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777d620>, {})"
4,0.237411147119,0.40450838679999995,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777d580>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777d760>, {})"
8,0.390175048842,0.741040740926,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777d6c0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777d8a0>, {})"
16,0.457150805627,0.916012446726,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777d800>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777d9e0>, {})"
24,0.431791354052,0.907630139829,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777d940>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777db20>, {})"
32,0.451477140291,0.938058307058,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777da80>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777dc60>, {})"
48,0.47053058794200003,0.88076217972,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777dbc0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777dda0>, {})"
56,0.45480251510499997,0.787263044138,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777dd00>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777dee0>, {})"
64,0.46316868338399997,0.7454663651910001,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777de40>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e020>, {})"
