thread,ext4,f2fs,ufs,sys
1,3.917256666195,3.9282630160750003,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777df80>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e160>, {})"
2,7.121552347498,7.163031739149,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e0c0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e2a0>, {})"
4,14.152951062926,14.230433243264999,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e200>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e3e0>, {})"
8,28.401165908863,28.505196130774,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e340>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e520>, {})"
16,56.490829149651,56.727948797676,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e480>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e660>, {})"
24,85.06226046167,84.96435669143399,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e5c0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e7a0>, {})"
32,112.99218075831901,113.29595656848,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e700>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e8e0>, {})"
48,167.815936485664,167.733094741531,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e840>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777ea20>, {})"
56,195.358383464635,195.684832738538,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777e980>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777eb60>, {})"
64,222.07606440540502,222.294288354835,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777eac0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777eca0>, {})"
