thread,ext4,f2fs,ufs,sys
1,3.8923756430500003,3.917062547387,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777ec00>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777ede0>, {})"
2,5.746362208731,5.075166187251,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777ed40>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777ef20>, {})"
4,5.818552853822,6.22105813473,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777ee80>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777f060>, {})"
8,6.197103969267,7.000533799146,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777efc0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777f1a0>, {})"
16,7.250262524396001,7.370789862914,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777f100>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777f2e0>, {})"
24,8.384095155992,7.74909721584,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777f240>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777f420>, {})"
32,8.516301550761,7.990126762818,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777f380>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777f560>, {})"
48,9.283160587647,8.160815652442,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777f4c0>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777f6a0>, {})"
56,9.304006907126,8.340080453136,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777f600>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777f7e0>, {})"
64,10.121958844296001,8.221284827831001,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777f740>, {})","defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777f920>, {})"
