thread,ext4,f2fs,ufs,sys
1,0.6337749070200001,0.776187937149,0.262546337454,1.639913327983
2,1.2010057180890001,1.4859972457989998,0.41881748800999996,3.317921968779
4,2.3980457257650003,2.852090692282,0.493650232302,6.629483474103
8,4.701298114936,5.5866551640379996,0.515609059013,13.302101848709
16,8.516946181470999,8.380999799963,0.525854780104,26.558242987802
24,7.93410057771,8.584646636875,0.530059324922,39.937120657759
32,7.909746710966999,2.1272208559309997,0.5360617375669999,53.557238517550
48,3.8742503524500003,6.410719656887999,0.530744688509,79.254782210367
56,2.457790229988,3.348172247181,0.54718214989,95.038411530124
64,2.602229121712,2.4886924649760003,0.530955743886,106.457899771564
