thread,ext4,f2fs,ufs,sys
1,0.135189210819,0.08998130188499999,0.188566579717,0.9546237
2,0.204166007381,0.140881183627,0.225795647413,1.6983216
4,0.339480476053,0.222198767908,0.242885479496,3.0353493
8,0.470548377079,0.28504146061700003,0.227354325084,5.7674169
16,0.486826123774,0.316923465459,0.212017136837,10.521144
24,0.43641021323499996,0.336119001252,0.20280438561699998,14.5808595
32,0.450298520655,0.253153508934,0.176046083046,17.9256573
48,0.400985608991,0.29145658542299996,0.173867108327,18.2586422
56,0.41536005351599997,0.24539742473999998,0.181773699251,17.2320336
64,0.418126147958,0.257737340339,0.181835515348,17.3678535
