thread,ext4,f2fs,ufs,sys
1,0.13525540277700002,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef777ff60>, {})",0.214592274678,0.9837144
2,0.178919042712,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef7784040>, {})",0.19397644931900002,1.6543962
4,0.17001518660700002,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef77840e0>, {})",0.21029653915,3.1525022
8,0.16470947205099998,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef7784180>, {})",0.198930982201,5.7818224
16,0.154004070661,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef7784220>, {})",0.163096185364,9.8838477
24,0.147245984011,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef77842c0>, {})",0.178387358381,13.8433437
32,0.137057423485,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef7784360>, {})",0.182577286083,16.6753215
48,0.13777312676,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef7784400>, {})",0.182050240626,17.5753125
56,0.134262505335,0.079673097656,0.152675090610,16.8277862
64,0.133706184137,0.077480708625,"defaultdict(<function nested_defaultdict.<locals>.<lambda> at 0x7faef77844a0>, {})",16.6818384
